Category,City,Country,Customer ID,Customer Name,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Year (OrderDate),Discount,Number of Records,Profit,Quantity,Sales,Shipping Cost
Office Supplies,Melbourne,Australia,KN-164501,Kean Nguyen,APAC,1/1/2015,IN-2014-47134,Medium,OFF-EN-10002035,"Kraft Mailers, Set of 50",Oceania,21093,Corporate,1/5/2015,Standard Class,Victoria,Envelopes,2015,0.1,1,13.41,6,203.31,16.61
Technology,Melbourne,Australia,KN-164501,Kean Nguyen,APAC,1/1/2015,IN-2014-47134,Medium,TEC-MA-10002134,"Konica Inkjet, Wireless",Oceania,21092,Corporate,1/5/2015,Standard Class,Victoria,Machines,2015,0.1,1,46.998,3,846.288,46.2
Furniture,Wollongong,Australia,KD-164951,Keith Dawkins,APAC,1/3/2015,IN-2014-25980,Medium,FUR-BO-10001874,"Sauder Corner Shelving, Pine",Oceania,28228,Corporate,1/8/2015,Standard Class,New South Wales,Bookcases,2015,0.1,1,35.595,3,401.355,34.69
Furniture,Tamworth,Australia,DJ-135101,Don Jones,APAC,1/3/2015,IN-2014-20191,Medium,FUR-CH-10004339,"SAFCO Steel Folding Chair, Red",Oceania,21711,Corporate,1/5/2015,Second Class,New South Wales,Chairs,2015,0.1,1,34.236,4,308.556,17.5
Office Supplies,Tamworth,Australia,DJ-135101,Don Jones,APAC,1/3/2015,IN-2014-20191,Medium,OFF-AP-10001299,"Cuisinart Microwave, Silver",Oceania,21709,Corporate,1/5/2015,Second Class,New South Wales,Appliances,2015,0.1,1,488.595,5,1256.445,84.7
Office Supplies,Tamworth,Australia,DJ-135101,Don Jones,APAC,1/3/2015,IN-2014-20191,Medium,OFF-AP-10002497,"Hamilton Beach Coffee Grinder, White",Oceania,21710,Corporate,1/5/2015,Second Class,New South Wales,Appliances,2015,0.1,1,2.4,2,73.44,6.66
Office Supplies,Tamworth,Australia,DJ-135101,Don Jones,APAC,1/3/2015,IN-2014-20191,Medium,OFF-PA-10003455,"Green Bar Memo Slips, Recycled",Oceania,21712,Corporate,1/5/2015,Second Class,New South Wales,Paper,2015,0.1,1,25.788,7,106.218,9.07
Office Supplies,Rockhampton,Australia,SJ-202151,Sarah Jordon,APAC,1/3/2015,IN-2014-25196,Medium,OFF-AR-10001965,"BIC Markers, Easy-Erase",Oceania,24572,Consumer,1/8/2015,Standard Class,Queensland,Art,2015,0.1,1,28.62,9,216.27,7.37
Office Supplies,Rockhampton,Australia,SJ-202151,Sarah Jordon,APAC,1/3/2015,IN-2014-25196,Medium,OFF-AR-10001134,"Boston Pens, Easy-Erase",Oceania,24571,Consumer,1/8/2015,Standard Class,Queensland,Art,2015,0.1,1,-0.054,6,78.246,1.09
Office Supplies,Rockhampton,Australia,SJ-202151,Sarah Jordon,APAC,1/3/2015,IN-2014-25196,Medium,OFF-BI-10002708,"Acco Binder, Clear",Oceania,24570,Consumer,1/8/2015,Standard Class,Queensland,Binders,2015,0.1,1,5.697,3,39.447,1.94
Office Supplies,Gold Coast,Australia,EB-137501,Edward Becker,APAC,1/3/2015,IN-2014-62254,High,OFF-AP-10000510,"Cuisinart Coffee Grinder, Red",Oceania,22414,Corporate,1/5/2015,Second Class,Queensland,Appliances,2015,0.1,1,6.138,2,69.498,11.07
Office Supplies,Newcastle,Australia,EH-137651,Edward Hooks,APAC,1/4/2015,IN-2014-32112,Medium,OFF-BI-10002627,"Avery Binder Covers, Economy",Oceania,29654,Corporate,1/7/2015,Second Class,New South Wales,Binders,2015,0.1,1,10.269,3,29.889,3.04
Office Supplies,Albury,Australia,DP-131651,David Philippe,APAC,1/7/2015,ID-2014-72110,Medium,OFF-AP-10003963,"Breville Microwave, Silver",Oceania,27884,Consumer,1/11/2015,Standard Class,New South Wales,Appliances,2015,0.1,1,-42.504,14,3810.996,96.85
Office Supplies,Albury,Australia,DP-131651,David Philippe,APAC,1/7/2015,ID-2014-72110,Medium,OFF-AP-10004295,"Cuisinart Refrigerator, Silver",Oceania,27883,Consumer,1/11/2015,Standard Class,New South Wales,Appliances,2015,0.1,1,99.348,4,1788.588,88.52
Office Supplies,Echuca,Australia,TP-211301,Theone Pippenger,APAC,1/9/2015,IN-2014-32077,Medium,OFF-AR-10003046,"Sanford Sketch Pad, Fluorescent",Oceania,25123,Consumer,1/13/2015,Standard Class,Victoria,Art,2015,0.1,1,74.688,8,336.528,16.72
Technology,Wollongong,Australia,JK-157301,Joe Kamberova,APAC,1/11/2015,IN-2014-84521,Medium,TEC-PH-10000019,"Motorola Audio Dock, Full Size",Oceania,30310,Consumer,1/17/2015,Standard Class,New South Wales,Phones,2015,0,1,83.82,2,349.32,20.03
Furniture,Hobart,Australia,ME-177251,Max Engle,APAC,1/11/2015,IN-2014-73657,High,FUR-CH-10003512,"Novimex Bag Chairs, Set of Two",Oceania,24504,Consumer,1/15/2015,Standard Class,Tasmania,Chairs,2015,0.4,1,-6.768,2,57.852,3.48
Office Supplies,Hobart,Australia,ME-177251,Max Engle,APAC,1/11/2015,IN-2014-73657,High,OFF-PA-10002811,"Green Bar Message Books, 8.5 x 11",Oceania,24506,Consumer,1/15/2015,Standard Class,Tasmania,Paper,2015,0.4,1,-32.448,4,67.032,6.97
Technology,Hobart,Australia,ME-177251,Max Engle,APAC,1/11/2015,IN-2014-73657,High,TEC-CO-10003574,"Brother Personal Copier, High-Speed",Oceania,24505,Consumer,1/15/2015,Standard Class,Tasmania,Copiers,2015,0.4,1,8.448,2,169.308,21.41
Office Supplies,Bundaberg,Australia,RH-194951,Rick Hansen,APAC,1/12/2015,ID-2014-82862,Medium,OFF-AR-10001479,"Binney & Smith Pencil Sharpener, Easy-Erase",Oceania,30681,Consumer,1/18/2015,Standard Class,Queensland,Art,2015,0.4,1,-0.564,2,33.516,2.7
Office Supplies,Bundaberg,Australia,RH-194951,Rick Hansen,APAC,1/12/2015,ID-2014-82862,Medium,OFF-SU-10002750,"Kleencut Box Cutter, Steel",Oceania,30682,Consumer,1/18/2015,Standard Class,Queensland,Supplies,2015,0.4,1,-15.72,2,40.86,1.36
Furniture,Mandurah,Australia,KM-162251,Kalyca Meade,APAC,1/14/2015,ID-2014-86180,Medium,FUR-CH-10003558,"Hon Swivel Stool, Black",Oceania,30520,Corporate,1/18/2015,Standard Class,Western Australia,Chairs,2015,0.4,1,77.292,6,580.392,24.82
Office Supplies,Mandurah,Australia,KM-162251,Kalyca Meade,APAC,1/14/2015,ID-2014-86180,Medium,OFF-FA-10003954,"Stockwell Rubber Bands, Assorted Sizes",Oceania,30521,Corporate,1/18/2015,Standard Class,Western Australia,Fasteners,2015,0.4,1,1.398,1,8.388,0.45
Office Supplies,Mandurah,Australia,KM-162251,Kalyca Meade,APAC,1/14/2015,ID-2014-86180,Medium,OFF-PA-10001849,"SanDisk Cards & Envelopes, Recycled",Oceania,30518,Corporate,1/18/2015,Standard Class,Western Australia,Paper,2015,0.4,1,-30.024,2,57.996,5.09
Technology,Mandurah,Australia,KM-162251,Kalyca Meade,APAC,1/14/2015,ID-2014-86180,Medium,TEC-CO-10003349,"Hewlett Copy Machine, Color",Oceania,30519,Corporate,1/18/2015,Standard Class,Western Australia,Copiers,2015,0.4,1,-196.188,2,318.132,37.46
Technology,Mandurah,Australia,KM-162251,Kalyca Meade,APAC,1/14/2015,ID-2014-86180,Medium,TEC-PH-10002353,"Samsung Signal Booster, Full Size",Oceania,30522,Corporate,1/18/2015,Standard Class,Western Australia,Phones,2015,0.4,1,-209.688,4,330.912,30.38
Technology,Melbourne,Australia,AR-104051,Allen Rosenblatt,APAC,1/15/2015,IN-2014-79425,High,TEC-AC-10001022,"SanDisk Flash Drive, USB",Oceania,25803,Corporate,1/17/2015,Second Class,Victoria,Accessories,2015,0.1,1,19.875,5,178.875,23.32
Office Supplies,Melbourne,Australia,CM-123851,Christopher Martinez,APAC,1/16/2015,IN-2014-73314,Medium,OFF-EN-10004590,"Ames Peel and Seal, with clear poly window",Oceania,21947,Consumer,1/22/2015,Standard Class,Victoria,Envelopes,2015,0.1,1,7.074,2,40.014,2.88
Office Supplies,Melbourne,Australia,CM-123851,Christopher Martinez,APAC,1/16/2015,IN-2014-73314,Medium,OFF-PA-10003449,"Green Bar Computer Printout Paper, Premium",Oceania,21946,Consumer,1/22/2015,Standard Class,Victoria,Paper,2015,0.1,1,22.008,2,53.568,2.57
Technology,Wodonga,Australia,NZ-185651,Nick Zandusky,APAC,1/17/2015,ID-2014-86362,Medium,TEC-CO-10000601,"Brother Ink, Laser",Oceania,31279,Home Office,1/22/2015,Standard Class,Victoria,Copiers,2015,0.4,1,-397.8,10,883.8,41.56
Office Supplies,Canberra,Australia,BB-115451,Brenda Bowman,APAC,1/18/2015,ID-2014-64242,Medium,OFF-FA-10004606,"Stockwell Staples, 12 Pack",Oceania,23599,Corporate,1/24/2015,Standard Class,Australian Capital Territory,Fasteners,2015,0.4,1,-14.328,4,24.552,1.74
Office Supplies,Canberra,Australia,BB-115451,Brenda Bowman,APAC,1/18/2015,ID-2014-64242,Medium,OFF-PA-10004994,"Green Bar Parchment Paper, Premium",Oceania,23598,Corporate,1/24/2015,Standard Class,Australian Capital Territory,Paper,2015,0.4,1,-15.516,3,30.024,2.95
Office Supplies,Toowoomba,Australia,PB-191051,Peter Bühler,APAC,1/20/2015,IN-2014-31874,High,OFF-EN-10002464,"Cameo Peel and Seal, Security-Tint",Oceania,24573,Consumer,1/24/2015,Standard Class,Queensland,Envelopes,2015,0.1,1,6.3,3,63.18,10.42
Office Supplies,Toowoomba,Australia,PB-191051,Peter Bühler,APAC,1/20/2015,IN-2014-31874,High,OFF-LA-10000984,"Hon Round Labels, Alphabetical",Oceania,24574,Consumer,1/24/2015,Standard Class,Queensland,Labels,2015,0.1,1,7.506,3,17.496,1.38
Technology,Toowoomba,Australia,PB-191051,Peter Bühler,APAC,1/20/2015,IN-2014-31874,High,TEC-PH-10004402,"Cisco Headset, with Caller ID",Oceania,24575,Consumer,1/24/2015,Standard Class,Queensland,Phones,2015,0.1,1,84.888,3,238.788,27.39
Office Supplies,Melbourne,Australia,GR-145601,Georgia Rosenberg,APAC,1/22/2015,IN-2014-24447,High,OFF-AR-10002364,"BIC Pens, Easy-Erase",Oceania,25227,Corporate,1/23/2015,First Class,Victoria,Art,2015,0.1,1,5.175,3,39.285,3.46
